'Id', 'UserId', 'Name', 'Date', 'Class', 'TagBased'
'83424', '698', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83425', '5741', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83426', '3973', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83427', '5164', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83428', '931', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83429', '4227', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83430', '2354', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83431', '4325', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83432', '905', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83433', '1814', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83434', '3645', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83435', '1199', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83436', '4114', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83437', '5683', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83438', '1388', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83439', '4926', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83440', '3568', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83441', '528', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83442', '3914', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83443', '416', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83444', '2070', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83445', '3660', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83446', '1727', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83447', '5978', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83448', '3280', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83449', '1709', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83450', '567', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83451', '4040', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83452', '822', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83453', '3603', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83454', '924', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83455', '5959', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83456', '4900', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83457', '6340', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83458', '2072', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83459', '199', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83460', '3764', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83461', '307', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83462', '5606', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83463', '229', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83464', '580', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83465', '3176', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83466', '3067', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83467', '409', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83468', '1254', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83469', '1557', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83470', '636', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83471', '3114', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83472', '683', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83473', '118', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83474', '2063', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83475', '5423', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83476', '791', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83477', '5298', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83478', '172', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83479', '379', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
'83480', '3056', 'Teacher', '2008-09-15T08:55:03.970', '3', 'False'
